cell_type	cell_source	clean_cell_name	model	key	reference	comment
CD4-positive, alpha-beta T cell	venous blood	CD4+ Alpha-Beta T Cell	blueprint	blueprint_chromhmm/hg38/C002Q1H1_12_12_Blueprint_release_201608_segments.bed.gz	hg38	
effector memory CD8-positive, alpha-beta T cell	venous blood	Effector Memory CD8+ Alpha-Beta T Cell	blueprint	blueprint_chromhmm/hg38/C003UQH1_12_12_Blueprint_release_201608_segments.bed.gz	hg38	
CD38-negative naive B cell	cord blood	CD38- Naive B Cell	blueprint	blueprint_chromhmm/hg38/C005QQH1_12_12_Blueprint_release_201608_segments.bed.gz	hg38	
CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	cord blood	CD34- CD41+ CD42+ Megakaryocyte Cell	blueprint	blueprint_chromhmm/hg38/S004BTH2_12_12_Blueprint_release_201608_segments.bed.gz	hg38	
alternatively activated macrophage	venous blood	Alternatively Activated Macrophage	blueprint	blueprint_chromhmm/hg38/S006VIH1_12_12_Blueprint_release_201608_segments.bed.gz	hg38	
CD4-positive, alpha-beta T cell	venous blood	CD4+ Alpha-Beta T Cell	blueprint	blueprint_chromhmm/hg38/S007DDH2_12_12_Blueprint_release_201608_segments.bed.gz	hg38	
alternatively activated macrophage	cord blood	Alternatively Activated Macrophage	blueprint	blueprint_chromhmm/hg38/S00C1HH1_12_12_Blueprint_release_201608_segments.bed.gz	hg38	
mature neutrophil	venous blood	Mature Neutrophil	blueprint	blueprint_chromhmm/hg38/S00FWHH1_12_12_Blueprint_release_201608_segments.bed.gz	hg38	
alternatively activated macrophage	cord blood	Alternatively Activated Macrophage	blueprint	blueprint_chromhmm/hg38/S00T2LH1_12_12_Blueprint_release_201608_segments.bed.gz	hg38	
germinal center B cell	tonsil	Germinal Center B Cell	blueprint	blueprint_chromhmm/hg38/S00Y9OH1_12_12_Blueprint_release_201608_segments.bed.gz	hg38	
naive B cell	venous blood	Naive B Cell	blueprint	blueprint_chromhmm/hg38/S00X9SH1_12_12_Blueprint_release_201608_segments.bed.gz	hg38	
mature eosinophil	venous blood	Mature Eosinophil	blueprint	blueprint_chromhmm/hg38/S006XEH2_12_12_Blueprint_release_201608_segments.bed.gz	hg38	
